"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Feb 27, 2026",272.81,272.81,262.89,264.18,264.18,72239400
"Feb 26, 2026",274.95,276.11,270.80,272.95,272.95,32345100
"Feb 25, 2026",271.78,274.94,271.05,274.23,274.23,33714300
"Feb 24, 2026",267.86,274.89,267.71,272.14,272.14,47014600
"Feb 23, 2026",263.49,269.43,263.38,266.18,266.18,37308200
"Feb 20, 2026",258.97,264.75,258.16,264.58,264.58,42070500
"Feb 19, 2026",262.60,264.48,260.05,260.58,260.58,30845300
"Feb 18, 2026",263.60,266.82,262.45,264.35,264.35,34203300
"Feb 17, 2026",258.05,266.29,255.54,263.88,263.88,58469100
"Feb 13, 2026",262.01,262.23,255.45,255.78,255.78,56290700
"Feb 12, 2026",275.59,275.72,260.18,261.73,261.73,81077200
"Feb 11, 2026",274.70,280.18,274.45,275.50,275.50,51931300
"Feb 10, 2026",274.89,275.37,272.94,273.68,273.68,34376900
"Feb 09, 2026",277.91,278.20,271.70,274.62,274.62,44623400
"Feb 06, 2026",277.12,280.91,276.93,278.12,277.86,50453400
"Feb 05, 2026",278.13,279.50,273.23,275.91,275.65,52977400
"Feb 04, 2026",272.29,278.95,272.29,276.49,276.23,90545700
"Feb 03, 2026",269.20,271.88,267.61,269.48,269.23,64394700
"Feb 02, 2026",260.03,270.49,259.21,270.01,269.76,73913400
"Jan 30, 2026",255.17,261.90,252.18,259.48,259.24,92443400
"Jan 29, 2026",258.00,259.65,254.41,258.28,258.04,67253000
"Jan 28, 2026",257.65,258.86,254.51,256.44,256.20,41288000
"Jan 27, 2026",259.17,261.95,258.21,258.27,258.03,49648300
"Jan 26, 2026",251.48,256.56,249.80,255.41,255.17,55969200
"Jan 23, 2026",247.32,249.41,244.68,248.04,247.81,41689000
"Jan 22, 2026",249.20,251.00,248.15,248.35,248.12,39708300
"Jan 21, 2026",248.70,251.56,245.18,247.65,247.42,54641700
"Jan 20, 2026",252.73,254.79,243.42,246.70,246.47,80267500
"Jan 16, 2026",257.90,258.90,254.93,255.53,255.29,72142800
"Jan 15, 2026",260.65,261.04,257.05,258.21,257.97,39388600
"Jan 14, 2026",259.49,261.82,256.71,259.96,259.72,40019400
"Jan 13, 2026",258.72,261.81,258.39,261.05,260.81,45730800
"Jan 12, 2026",259.16,261.30,256.80,260.25,260.01,45263800
"Jan 09, 2026",259.08,260.21,256.22,259.37,259.13,39997000
"Jan 08, 2026",257.02,259.29,255.70,259.04,258.80,50419300
"Jan 07, 2026",263.20,263.68,259.81,260.33,260.09,48309800
"Jan 06, 2026",267.00,267.55,262.12,262.36,262.11,52352100
"Jan 05, 2026",270.64,271.51,266.14,267.26,267.01,45647200
"Jan 02, 2026",272.26,277.84,269.00,271.01,270.76,37838100
"Dec 31, 2025",273.06,273.68,271.75,271.86,271.61,27293600
"Dec 30, 2025",272.81,274.08,272.28,273.08,272.82,22139600
"Dec 29, 2025",272.69,274.36,272.35,273.76,273.50,23715200
"Dec 26, 2025",274.16,275.37,272.86,273.40,273.14,21521800
"Dec 24, 2025",272.34,275.43,272.20,273.81,273.55,17910600
"Dec 23, 2025",270.84,272.50,269.56,272.36,272.11,29642000
"Dec 22, 2025",272.86,273.88,270.51,270.97,270.72,36571800
"Dec 19, 2025",272.15,274.60,269.90,273.67,273.41,144632000
"Dec 18, 2025",273.61,273.63,266.95,272.19,271.94,51630700
"Dec 17, 2025",275.01,276.16,271.64,271.84,271.59,50138700
"Dec 16, 2025",272.82,275.50,271.79,274.61,274.35,37648600
"Dec 15, 2025",280.15,280.15,272.84,274.11,273.85,50409100
"Dec 12, 2025",277.90,279.22,276.82,278.28,278.02,39532900
"Dec 11, 2025",279.10,279.59,273.81,278.03,277.77,33248000
"Dec 10, 2025",277.75,279.75,276.44,278.78,278.52,33038300
"Dec 09, 2025",278.16,280.03,276.92,277.18,276.92,32193300
"Dec 08, 2025",278.13,279.67,276.15,277.89,277.63,38211800
"Dec 05, 2025",280.54,281.14,278.05,278.78,278.52,47265800
"Dec 04, 2025",284.10,284.73,278.59,280.70,280.44,43989100
"Dec 03, 2025",286.20,288.62,283.30,284.15,283.88,43538700
"Dec 02, 2025",283.00,287.40,282.63,286.19,285.92,53669500
"Dec 01, 2025",278.01,283.42,276.14,283.10,282.84,46587700
"Nov 28, 2025",277.26,279.00,275.99,278.85,278.59,20135600
"Nov 26, 2025",276.96,279.53,276.63,277.55,277.29,33431400
"Nov 25, 2025",275.27,280.38,275.25,276.97,276.71,46914200
"Nov 24, 2025",270.90,277.00,270.90,275.92,275.66,65585800
"Nov 21, 2025",265.95,273.33,265.67,271.49,271.24,59030800
"Nov 20, 2025",270.83,275.43,265.92,266.25,266.00,45823600
"Nov 19, 2025",265.53,272.21,265.50,268.56,268.31,40424500
"Nov 18, 2025",269.99,270.71,265.32,267.44,267.19,45677300
"Nov 17, 2025",268.82,270.49,265.73,267.46,267.21,45018300
"Nov 14, 2025",271.05,275.96,269.60,272.41,272.16,47431300
"Nov 13, 2025",274.11,276.70,272.09,272.95,272.69,49602800
"Nov 12, 2025",275.00,275.73,271.70,273.47,273.21,48398000
"Nov 11, 2025",269.81,275.91,269.80,275.25,274.99,46208300
"Nov 10, 2025",268.96,273.73,267.46,269.43,269.18,41312400
"Nov 07, 2025",269.80,272.29,266.77,268.47,267.96,48227400
"Nov 06, 2025",267.89,273.40,267.89,269.77,269.26,51204000
"Nov 05, 2025",268.61,271.70,266.93,270.14,269.63,43683100
"Nov 04, 2025",268.33,271.49,267.62,270.04,269.53,49274800
"Nov 03, 2025",270.42,270.85,266.25,269.05,268.54,50194600
"Oct 31, 2025",276.99,277.32,269.16,270.37,269.86,86167100
"Oct 30, 2025",271.99,274.14,268.48,271.40,270.88,69886500
"Oct 29, 2025",269.28,271.41,267.11,269.70,269.19,51086700
"Oct 28, 2025",268.99,269.89,268.15,269.00,268.49,41534800
"Oct 27, 2025",264.88,269.12,264.65,268.81,268.30,44888200
"Oct 24, 2025",261.19,264.13,259.18,262.82,262.32,38253700
"Oct 23, 2025",259.94,260.62,258.01,259.58,259.09,32754900
"Oct 22, 2025",262.65,262.85,255.43,258.45,257.96,45015300
"Oct 21, 2025",261.88,265.29,261.83,262.77,262.27,46695900
"Oct 20, 2025",255.89,264.38,255.63,262.24,261.74,90483000
"Oct 17, 2025",248.02,253.38,247.27,252.29,251.81,49147000
"Oct 16, 2025",248.25,249.04,245.13,247.45,246.98,39777000
"Oct 15, 2025",249.49,251.82,247.47,249.34,248.87,33893600
"Oct 14, 2025",246.60,248.85,244.70,247.77,247.30,35478000
"Oct 13, 2025",249.38,249.69,245.56,247.66,247.19,38142900
"Oct 10, 2025",254.94,256.38,244.00,245.27,244.80,61999100
"Oct 09, 2025",257.81,258.00,253.14,254.04,253.56,38322000
"Oct 08, 2025",256.52,258.52,256.11,258.06,257.57,36496900
"Oct 07, 2025",256.81,257.40,255.43,256.48,255.99,31955800
"Oct 06, 2025",257.99,259.07,255.05,256.69,256.20,44664100
"Oct 03, 2025",254.67,259.24,253.95,258.02,257.53,49155600
"Oct 02, 2025",256.58,258.18,254.15,257.13,256.64,42630200
"Oct 01, 2025",255.04,258.79,254.93,255.45,254.96,48713900
"Sep 30, 2025",254.86,255.92,253.11,254.63,254.15,37704300
"Sep 29, 2025",254.56,255.00,253.01,254.43,253.95,40127700
"Sep 26, 2025",254.10,257.60,253.78,255.46,254.97,46076300
"Sep 25, 2025",253.21,257.17,251.71,256.87,256.38,55202100
"Sep 24, 2025",255.22,255.74,251.04,252.31,251.83,42303700
"Sep 23, 2025",255.88,257.34,253.58,254.43,253.95,60275200
"Sep 22, 2025",248.30,256.64,248.12,256.08,255.59,105517400
"Sep 19, 2025",241.23,246.30,240.21,245.50,245.03,163741300
"Sep 18, 2025",239.97,241.20,236.65,237.88,237.43,44249600
"Sep 17, 2025",238.97,240.10,237.73,238.99,238.54,46508000
"Sep 16, 2025",237.18,241.22,236.32,238.15,237.70,63421100
"Sep 15, 2025",237.00,238.19,235.03,236.70,236.25,42699500
"Sep 12, 2025",229.22,234.51,229.02,234.07,233.62,55824200
"Sep 11, 2025",226.88,230.45,226.65,230.03,229.59,50208600
"Sep 10, 2025",232.19,232.42,225.95,226.79,226.36,83440800
"Sep 09, 2025",237.00,238.78,233.36,234.35,233.90,66313900
"Sep 08, 2025",239.30,240.15,236.34,237.88,237.43,48999500
"Sep 05, 2025",240.00,241.32,238.49,239.69,239.23,54870400
"Sep 04, 2025",238.45,239.90,236.74,239.78,239.32,47549400
"Sep 03, 2025",237.21,238.85,234.36,238.47,238.02,66427800
"Sep 02, 2025",229.25,230.85,226.97,229.72,229.28,44075600
"Aug 29, 2025",232.51,233.38,231.37,232.14,231.70,39418400
"Aug 28, 2025",230.82,233.41,229.34,232.56,232.12,38074700
"Aug 27, 2025",228.61,230.90,228.26,230.49,230.05,31259500
"Aug 26, 2025",226.87,229.49,224.69,229.31,228.87,54575100
"Aug 25, 2025",226.48,229.30,226.23,227.16,226.73,30983100
"Aug 22, 2025",226.17,229.09,225.41,227.76,227.33,42477800
"Aug 21, 2025",226.27,226.52,223.78,224.90,224.47,30621200
"Aug 20, 2025",229.98,230.47,225.77,226.01,225.58,42263900
"Aug 19, 2025",231.28,232.87,229.35,230.56,230.12,39402600
"Aug 18, 2025",231.70,233.12,230.11,230.89,230.45,37476200
"Aug 15, 2025",234.00,234.28,229.34,231.59,231.15,56038700
"Aug 14, 2025",234.06,235.12,230.85,232.78,232.34,51916300
"Aug 13, 2025",231.07,235.00,230.43,233.33,232.89,69878500
"Aug 12, 2025",228.01,230.80,227.07,229.65,229.21,55626200
"Aug 11, 2025",227.92,229.56,224.76,227.18,226.75,61806100
"Aug 08, 2025",220.83,231.00,219.25,229.35,228.65,113854000
"Aug 07, 2025",218.88,220.85,216.58,220.03,219.36,90224800
"Aug 06, 2025",205.63,215.38,205.59,213.25,212.60,108483100
"Aug 05, 2025",203.40,205.34,202.16,202.92,202.30,44155100
"Aug 04, 2025",204.51,207.88,201.68,203.35,202.73,75109300
"Aug 01, 2025",210.87,213.58,201.50,202.38,201.77,104434500
"Jul 31, 2025",208.49,209.84,207.16,207.57,206.94,80698400
"Jul 30, 2025",211.90,212.39,207.72,209.05,208.42,45512500
"Jul 29, 2025",214.18,214.81,210.82,211.27,210.63,51411700
"Jul 28, 2025",214.03,214.85,213.06,214.05,213.40,37858000
"Jul 25, 2025",214.70,215.24,213.40,213.88,213.23,40268800
"Jul 24, 2025",213.90,215.69,213.53,213.76,213.11,46022600
"Jul 23, 2025",215.00,215.15,212.41,214.15,213.50,46989300
"Jul 22, 2025",213.14,214.95,212.23,214.40,213.75,46404100
"Jul 21, 2025",212.10,215.78,211.63,212.48,211.84,51377400
"Jul 18, 2025",210.87,211.79,209.70,211.18,210.54,48974600
"Jul 17, 2025",210.57,211.80,209.59,210.02,209.38,48068100
"Jul 16, 2025",210.30,212.40,208.64,210.16,209.52,47490500
"Jul 15, 2025",209.22,211.89,208.92,209.11,208.48,42296300
"Jul 14, 2025",209.93,210.91,207.54,208.62,207.99,38840100
"Jul 11, 2025",210.57,212.13,209.86,211.16,210.52,39765800
"Jul 10, 2025",210.51,213.48,210.03,212.41,211.77,44443600
"Jul 09, 2025",209.53,211.33,207.22,211.14,210.50,48749400
"Jul 08, 2025",210.10,211.43,208.45,210.01,209.37,42848900
"Jul 07, 2025",212.68,216.23,208.80,209.95,209.31,50229000
"Jul 03, 2025",212.15,214.65,211.81,213.55,212.90,34955800
"Jul 02, 2025",208.91,213.34,208.14,212.44,211.80,67941800
"Jul 01, 2025",206.67,210.19,206.14,207.82,207.19,78788900
"Jun 30, 2025",202.01,207.39,199.26,205.17,204.55,91912800
"Jun 27, 2025",201.89,203.22,200.00,201.08,200.47,73188600
"Jun 26, 2025",201.43,202.64,199.46,201.00,200.39,50799100
"Jun 25, 2025",201.45,203.67,200.62,201.56,200.95,39525700
"Jun 24, 2025",202.59,203.44,200.20,200.30,199.69,54064000
"Jun 23, 2025",201.63,202.30,198.96,201.50,200.89,55814300
"Jun 20, 2025",198.24,201.70,196.86,201.00,200.39,96813500
"Jun 18, 2025",195.94,197.57,195.07,196.58,195.98,45394700
"Jun 17, 2025",197.20,198.39,195.21,195.64,195.05,38856200
"Jun 16, 2025",197.30,198.69,196.56,198.42,197.82,43020700
"Jun 13, 2025",199.73,200.37,195.70,196.45,195.85,51447300
"Jun 12, 2025",199.08,199.68,197.36,199.20,198.60,43904600
"Jun 11, 2025",203.50,204.50,198.41,198.78,198.18,60989900
"Jun 10, 2025",200.60,204.35,200.57,202.67,202.06,54672600
"Jun 09, 2025",204.39,206.00,200.02,201.45,200.84,72862600
"Jun 06, 2025",203.00,205.70,202.05,203.92,203.30,46607700
"Jun 05, 2025",203.50,204.75,200.15,200.63,200.02,55126100
"Jun 04, 2025",202.91,206.24,202.10,202.82,202.20,43604000
"Jun 03, 2025",201.35,203.77,200.96,203.27,202.65,46381600
"Jun 02, 2025",200.28,202.13,200.12,201.70,201.09,35423300
"May 30, 2025",199.37,201.96,196.78,200.85,200.24,70819900
"May 29, 2025",203.58,203.81,198.51,199.95,199.34,51396800
"May 28, 2025",200.59,202.73,199.90,200.42,199.81,45339700
"May 27, 2025",198.30,200.74,197.43,200.21,199.60,56288500
"May 23, 2025",193.67,197.70,193.46,195.27,194.68,78432900
"May 22, 2025",200.71,202.75,199.70,201.36,200.75,46742400
"May 21, 2025",205.17,207.04,200.71,202.09,201.48,59211800
"May 20, 2025",207.67,208.47,205.03,206.86,206.23,42496600
"May 19, 2025",207.91,209.48,204.26,208.78,208.15,46140500
"May 16, 2025",212.36,212.57,209.77,211.26,210.62,54737900
"May 15, 2025",210.95,212.96,209.54,211.45,210.81,45029500
"May 14, 2025",212.43,213.94,210.58,212.33,211.69,49325800
"May 13, 2025",210.43,213.40,209.00,212.93,212.28,51909300
"May 12, 2025",210.97,211.27,206.75,210.79,210.15,63775800
"May 09, 2025",199.00,200.54,197.54,198.53,197.67,36453900
"May 08, 2025",197.72,200.05,194.68,197.49,196.63,50478900
"May 07, 2025",199.17,199.44,193.25,196.25,195.40,68536700
"May 06, 2025",198.21,200.65,197.02,198.51,197.65,51216500
"May 05, 2025",203.10,204.10,198.21,198.89,198.03,69018500
"May 02, 2025",206.09,206.99,202.16,205.35,204.46,101010600
"May 01, 2025",209.08,214.56,208.90,213.32,212.39,57365700
"Apr 30, 2025",209.30,213.58,206.67,212.50,211.58,52286500
"Apr 29, 2025",208.69,212.24,208.37,211.21,210.29,36827600
"Apr 28, 2025",210.00,211.50,207.46,210.14,209.23,38743100
"Apr 25, 2025",206.37,209.75,206.20,209.28,208.37,38222300
"Apr 24, 2025",204.89,208.83,202.94,208.37,207.47,47311000
"Apr 23, 2025",206.00,208.00,202.80,204.60,203.71,52929200
"Apr 22, 2025",196.12,201.59,195.97,199.74,198.87,52976400
"Apr 21, 2025",193.27,193.80,189.81,193.16,192.32,46742500
"Apr 17, 2025",197.20,198.83,194.42,196.98,196.13,52164700
"Apr 16, 2025",198.36,200.70,192.37,194.27,193.43,59732400
"Apr 15, 2025",201.86,203.51,199.80,202.14,201.26,51343900
"Apr 14, 2025",211.44,212.94,201.16,202.52,201.64,101352900
"Apr 11, 2025",186.10,199.54,186.06,198.15,197.29,87435900
"Apr 10, 2025",189.07,194.78,183.00,190.42,189.59,121880000
"Apr 09, 2025",171.95,200.61,171.89,198.85,197.99,184395900
"Apr 08, 2025",186.70,190.34,169.21,172.42,171.67,120859500
"Apr 07, 2025",177.20,194.15,174.62,181.46,180.67,160466300
"Apr 04, 2025",193.89,199.88,187.34,188.38,187.56,125910900
"Apr 03, 2025",205.54,207.49,201.25,203.19,202.31,103419000
"Apr 02, 2025",221.32,225.19,221.02,223.89,222.92,35905900
"Apr 01, 2025",219.81,223.68,218.90,223.19,222.22,36412700
"Mar 31, 2025",217.01,225.62,216.23,222.13,221.17,65299300
"Mar 28, 2025",221.67,223.81,217.68,217.90,216.95,39818600
"Mar 27, 2025",221.39,224.99,220.56,223.85,222.88,37094800
"Mar 26, 2025",223.51,225.02,220.47,221.53,220.57,34466100
"Mar 25, 2025",220.77,224.10,220.08,223.75,222.78,34493600
"Mar 24, 2025",221.00,221.48,218.58,220.73,219.77,44299500
"Mar 21, 2025",211.56,218.84,211.28,218.27,217.32,94127800
"Mar 20, 2025",213.99,217.49,212.22,214.10,213.17,48862900
"Mar 19, 2025",214.22,218.76,213.75,215.24,214.31,54385400
"Mar 18, 2025",214.16,215.15,211.49,212.69,211.77,42432400
"Mar 17, 2025",213.31,215.22,209.97,214.00,213.07,48073400
"Mar 14, 2025",211.25,213.95,209.58,213.49,212.56,60107600
"Mar 13, 2025",215.95,216.84,208.42,209.68,208.77,61368300
"Mar 12, 2025",220.14,221.75,214.91,216.98,216.04,62547500
"Mar 11, 2025",223.81,225.84,217.45,220.84,219.88,76137400
"Mar 10, 2025",235.54,236.16,224.22,227.48,226.49,72071200
"Mar 07, 2025",235.11,241.37,234.76,239.07,238.03,46273600
"Mar 06, 2025",234.44,237.86,233.16,235.33,234.31,45170400
"Mar 05, 2025",235.42,236.55,229.23,235.74,234.72,47227600
"Mar 04, 2025",237.71,240.07,234.68,235.93,234.91,53798100
"Mar 03, 2025",241.79,244.03,236.11,238.03,237.00,47184000